table_name,column_description,column_name
FUL_FULFILLMENT,"Unique identifier of fulfillment. If external system does not provide a value then the system creates a business key.""",FULFILLMENT_ID
FUL_FULFILLMENT,Field on the entity to store purge date ,PURGE_DATE
FUL_FULFILLMENT,The source from which the fulfillment originated. It could be bridged in from external or from order component.,SOURCE
FUL_FULFILLMENT,The first name of the Customer.,CUSTOMER_FIRST_NAME
FUL_FULFILLMENT,The last name of the customer.,CUSTOMER_LAST_NAME
FUL_FULFILLMENT,Email of the customer.,CUSTOMER_EMAIL
FUL_FULFILLMENT,Phone Number of the customer.,CUSTOMER_PHONE
FUL_FULFILLMENT,The location from where the fulfillment is executed.,SHIP_FROM_LOCATION_ID
FUL_FULFILLMENT,"Ship-to location Id, in case of ship to store or any flow where the items are shipping to a destination which is configured as a location in the system.",SHIP_TO_LOCATION_ID
FUL_FULFILLMENT,Latest possible shipping timestamp on which the items should be shipped out from store.,SHIPPING_DUE_DATE
FUL_FULFILLMENT,Delivery date which was originally promised to the customer.,DELIVERY_DUE_DATE
FUL_FULFILLMENT,Ship via which is requested to fulfill the particular fulfillment order line. Ship Via Id is a unique combination of Carrier Code and Service Level Code. Either Carrier Code and Service Level Code or Ship Via Id is mandatory. If both are populated then Ship Via Id takes precedence over the Carrier Code and Service Level Code populated in the Fulfillment.,SHIP_VIA_ID
FUL_FULFILLMENT,Service Level which should be used to fulfill the order line. Either Carrier Code and Service Level Code or Ship Via Id is mandatory. If both are populated then Ship Via Id takes precedence over the Carrier Code and Service Level Code populated in the Fulfillment.,SERVICE_LEVEL_CODE
FUL_FULFILLMENT,Carrier used to ship the fulfillment to the customer.,CARRIER_CODE
FUL_FULFILLMENT,"Indicates  the lowest status of among all the fulfillment lines of a given fulfillment. Example: pending pickup, packed, shipped etc.",MIN_STATUS_ID
FUL_FULFILLMENT,"Indicates the highest status, excluding Cancelled, among the fulfillment lines of a given fulfillment. Example: pending pickup, packed, shipped etc.",MAX_STATUS_ID
FUL_FULFILLMENT,"Defines the type of document for the order. Used to differentiate retail, customer, and B2B orders. Propagated from order.",DOC_TYPE_ID
FUL_FULFILLMENT,Order Type used by order component for order processing.This is propagated from Order.,ORDER_TYPE_ID
FUL_FULFILLMENT,"Indicates the method of fulfillment.  This decides how the fulfillment will be processed in the store.  When active omni order management is used, this information flows from release entity. Replenishment to store from DC should be mapped as DCtoStore. Valid values include DCtoStore, ShipToLocation, ShipToAddress, ShipToStore and PickUpAtStore.",DELIVERY_METHOD_ID
FUL_FULFILLMENT,This is used when the delivery method is ship to store to differentiate between  merge and pickup orders.,DESTINATION_ACTION_ID
FUL_FULFILLMENT,This is the date when the fulfillment gets shipped.,SHIPPED_DATE
FUL_FULFILLMENT,This is the calculate date from the carrier for when the delivery of the order could be expected.,EXPECTED_DELIVERY_DATE
FUL_FULFILLMENT,This is the actual order captured date and denoted the date when the customer placed the order.Earliest date if orders are consolidated.,ORDER_CAPTURE_DATE
FUL_FULFILLMENT,"Indicates the priority determined by the Fulfillment component based on the Prioritization Tags configured in the system. If no Prioritization Tags are configured, then Priority is the same as the Order Priority.",PRIORITY
FUL_FULFILLMENT,Indicates the priority of the order which was set by the order component.,ORDER_PRIORITY
FUL_FULFILLMENT,Indicates the total order value.,ORDER_TOTAL
FUL_FULFILLMENT,Indicates if the fulfillment is a gift.,IS_GIFT
FUL_FULFILLMENT,"Indicates if the fulfillment needs value added services. Even if one fulfillment line needs VAS, this flag is set to true.",IS_V_A_S_REQUIRED
FUL_FULFILLMENT,Indicates if the fulfillment has any alerts.,CONTAINS_ALERT
FUL_FULFILLMENT,Indicates if the fulfillment has any instructions.,CONTAINS_INSTRUCTION
FUL_FULFILLMENT,Location id to locate the return center,RETURN_TO_LOCATION_ID
FUL_FULFILLMENT,Indicates if the fulfillment needs return label.,IS_RETURN_LABEL_REQUIRED
FUL_FULFILLMENT,"Indicates if the fulfillment/ASN is received or not. If all packages are not received by the time of updating this flag, remaining packages will be made missing.",IS_VERIFIED
FUL_FULFILLMENT,Expiry date of the Customer Pickup order.,PICKUP_EXPIRY_DATE
FUL_FULFILLMENT,Indicates the total value of the units that is purchased in addition to the original items,ADDITIONAL_PURCHASED_VALUE
FUL_FULFILLMENT,Indicates the total value of items that are picked up by the customer,PICKEDUP_VALUE
FUL_FULFILLMENT,This flag indicates if packing is complete for a pullbacks/transfers or store initiated transfer order.,IS_CLOSED
